sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
RA041	2019	08/03/2019	15	45						4.2								121.0																																			
RA041	2019	08/03/2019	4	15	3.1		3.74	11.6		4.5			1.7	3.8				94.0	110.0	20.0																210.0	0.0								54.0	3.2	0.0						
RA041	2019	08/03/2019	10	45	5.0	4.2	3.42	17.1		4.0				5.6				103.0																																			
RA041	2019	08/03/2019	12	15						3.7								103.0																																			
RA041	2019	08/03/2019	2	15	2.8		3.64	10.2					0.9	3.5					110.0	20.0																232.0	0.0								83.0	1.6	0.0						
RA041	2019	08/03/2019	14	0						3.7								108.0																																			
RA041	2019	08/03/2019	23	45	2.9		3.55	10.3		2.7			0.4	3.5				99.0	110.0	20.0																219.0	0.0								61.0	1.2	0.0						
RA041	2019	08/03/2019	13	15						3.9								99.0																																			
RA041	2019	08/03/2019	19	0	5.9		3.27	19.3		3.3			1.2	6.5				103.0	110.0	20.0																272.0	0.0								55.0	1.2	0.0						
RA041	2019	08/03/2019	19	15						3.7								103.0																																			
RA041	2019	08/03/2019	5	0	3.8		3.84	14.6		3.7			2.1	4.5				117.0	110.0	20.0																210.0	0.0								57.0	2.4	0.0						
RA041	2019	08/03/2019	1	0	3.2		3.44	11.0					0.6	3.9					110.0	20.0																272.0	0.0								59.0	3.6	0.0						
RA041	2019	08/03/2019	6	30	4.2		3.5	14.7		4.4			2.7	4.8				112.0	110.0	20.0																210.0	0.0								90.0	1.2	0.0						
RA041	2019	08/03/2019	17	45	4.7		3.11	14.6		3.6			1.9	5.3				108.0	110.0	20.0																289.0	0.0								71.0	1.6	0.0						
RA041	2019	08/03/2019	6	45	4.3		3.23	13.9		4.4			2.8	4.8				112.0	110.0	20.0																250.0	0.0								102.0	1.2	0.0						
RA041	2019	08/03/2019	0	15	3.5		3.46	12.1					0.5	4.2					110.0	20.0																261.0	0.0								41.0	1.6	0.0						
RA041	2019	08/03/2019	9	45	5.2	4.2	3.44	17.9		6.6			3.2	5.8				112.0	110.0	20.0																210.0	0.0								74.0	1.2	1.1						
RA041	2019	08/03/2019	3	0	2.7		3.56	9.6					1.1	3.4					110.0	20.0																245.0	0.0								67.0	2.0	0.0						
RA041	2019	08/03/2019	6	15	4.2		3.24	13.6		3.9			2.6	4.8				117.0	110.0	20.0																220.0	0.0								104.0	2.8	0.0						
RA041	2019	08/03/2019	18	15	5.3		3.11	16.5		4.6			1.6	6.0				103.0	110.0	20.0																288.0	0.0								103.0	2.8	0.0						
RA041	2019	08/03/2019	8	0						5.3								103.0																																			
RA041	2019	08/03/2019	12	0						3.7								103.0																																			
RA041	2019	08/03/2019	3	30	2.4		3.58	8.6					1.3	3.1					110.0	20.0																250.0	0.0								65.0	2.4	0.0						
RA041	2019	08/03/2019	21	15	5.8		3.57	20.7		3.1			0.6	6.5				103.0	110.0	20.0																239.0	0.0								31.0	2.8	0.0						
RA041	2019	08/03/2019	17	0	4.1	3.3	3.0	12.3		3.7			2.3	4.7				112.0	110.0	20.0																252.0	0.2								95.0	1.2	1.1						
RA041	2019	08/03/2019	10	0	5.3	4.2	3.4	18.0		5.0			3.2	5.9				99.0	110.0	20.0																220.0	0.5								69.0	1.6	1.1						
RA041	2019	08/03/2019	11	0						6.9								108.0																																			
RA041	2019	08/03/2019	11	30						4.2								103.0																																			
RA041	2019	08/03/2019	0	0	3.5		3.46	12.1					0.5	4.2					110.0	20.0																271.0	0.0								59.0	2.4	0.0						
