sonde	lat	lon	name
OU012	12.4	-1.5	OUAGADOUGOU
34407	7.3	134.5	PALAU_IS
35705	5.9	-162.1	PALMYRA_IS
PN909	9.4	-79.9	PANAMA
PMJ06	5.8	-55.2	PARAMARIBO
SC047	48.1	2.3	PARIS-SACLAY
37440	39.9	116.4	PEIPING
38305	5.5	100.4	PENANG
PE43K	-32	116.1	PERTH
39234	34	71.5	PESHAWAR
PK553	53	158.7	PETROPAVLOVSK
PB671	70.8	170.9	PEVEK
PB12M	-24	29.5	PIETERSBURG
4082N	-25	-130	PITCAIRN_IS
TZ362	61.6	90	PODKAMENNAYA
PA836	34.6	-120.6	POINT_ARGUELLO
PT046	46.6	0.3	POITIERS
PK40_	-0.3	109	PONTIANAK
PP902	2.4	-76.6	POPAYAN
41950	49.9	-98.3	PORTAGE_LA_PRARI
PCJ6M	-64.8	-63.5	PORT_LOCKROY
PY50R	-9.4	147.1	PORT_MORESBY
PY52R	-9.4	142.1	PORT_MORESBY
PSJ5J	-51.7	-57.8	PORT_STANLEY
PZ374	74.7	113	PREOBRAZHENIYA
42854	54.3	-130.3	PRINCE_RUPERT
PD664	64.4	-173.4	PROVIDENIYA_BAY
PQ052	50	14.6	PRUHONICE
PM91J	-12.6	-69.2	PUERTO_MADONADO
PMJ4K	-42.7	-65.3	PUERTO_MADRYN
PRJ18	18.112	-66.149	PUERTO_RICO
QT230	30.2	67	QUETTA
RT034	33.9	-6.1	RABAT
43316	16.8	96.5	RANGOON
RA72J	-21.2	-159.8	RAROTONGA
RB974	74.7	-94.9	RESOLUTE_BAY
RKA64	64.1	-21.8	REYKJAVIK
RA041	41.8	12.5	ROME
RO041	41.9	12.5	ROME
EB040	40.4	0.5	ROQUETES
RV149	47.2	39.7	ROSTOV
SH872	72	-125.2	SACHS_HABOUR
SD266	66.5	66.5	SALEKHARD
SR53M	-34.7	136.8	SALISBURY
QM07_	-70.3	-2.4	SANAE
SX834	32.6	-117.2	SAN_DIEGO
SNJ3J	-31.5	-65.5	SAN_JUAN
SJJ18	18.112	-66.249	SAN_JUAN
SSJ24	24.1	-74.5	SAN_SALVADOR
VT139	40.6	17.8	SAN_VITO
SAA0K	-2.5	-44.2	SAO_LUIS
SPJ2L	-23.5	-46.5	SAO_PAULO
SC51L	-12.7	142.1	SCHERGER_RAAFB
SZ045	46.4	6.7	SCHWARZENBURG
SQ67Q	-77.9	166.8	SCOTT_BASE
SU437	37.2	126.6	SEOUL
44537	37.9	139.3	SHIBATA
45549	49.3	143	SHIKUKA
SF144	44.8	34.1	SIMFEROPOL
SI301	1.3	103.8	SINGAPORE
SL051	51.5	-0.6	SLOUGH
46161	59.7	30.5	SLUTSK
SO166	67.4	26.6	SODANKYLA
SQ143	42.7	23.4	SOFIA
SMJ67	67	-50	SONDRESTROM
SO147	47.7	16.1	SOPRON
SGA5M	-54.3	-36.5	SOUTH_GEORGIA
SH42_	-20.4	118.6	SOUTH_HEDLAND
PO09_	-90	0	SOUTH_POLE
UI057	57.4	-7.3	SOUTH_UIST
ST837	37.4	-122.2	STANFORD
SJJ47	47.6	-52.7	ST_JOHNS
PE054	54	9.3	ST_PETER-ORDING
SB079	78.9	11.9	SVALBARD
SV256	56.4	58.6	SVERDLOVSK
48952	52.1	-101.2	SWAN_RIVER
SW16R	-69	39.6	SYOWA_BASE
TT71P	-17.7	-149.3	TAHITI
TP424	25	121.5	TAIPEI
TA90M	-4.6	-81.3	TALARA
TN022	22.8	5.5	TAMANRASSET
IV21Q	-18.8	47.5	TANANARIVE
TQ241	41.3	69.6	TASHKENT
TB142	41.7	44.8	TBILISI
TE236	35.7	51.4	TEHRAN
TD42M	-19.6	134.2	TENNANT_CREEK
DU56O	-66.7	140	TERRE_ADELIE
49954	54	-101	THE+PAS
THJ77	77.5	-69.2	THULE/QANAQ
TC309	8.6	76.9	THUMBA
TX471	71.6	128.9	TIKSI_BAY
TI311	10.8	78.7	TIRUCHIRAPALLI
TG011	10.8	0.7	TOGO
TK356	56.5	84.9	TOMSK
TF043	45.1	7.6	TORINO
TV51R	-19.3	146.7	TOWNSVILLE
TWJ4L	-43.2	-65.3	TRELEW
51J10	10.7	-61.6	TRINIDAD
TM308	8.5	77	TRIVANDRUM
TR169	69.6	19.2	TROMSO
TR170	69.583	19.217	TROMSO
52447	47.3	123.9	TSITSIHAR
TS11R	-19.2	17.7	TSUMEB
TUJ2O	-26.9	-65.4	TUCUMAN
TZ362	61.6	90	TUNGUSKA
